col_name,yn,date_time,number,integer,bunho,email,url,part_num,part_text,part_discriminator,part_mask,part_minus,len_purity,value_nunique,value_distr,datatype,BUNHO,NALJJA,MYEONG,JUSO,YEOBU,CODE,ID,SURYANG,GEUMAEK,NAEYOUNG,YUL,ETC,domain
CRTFCT_ISSU_CONFMER_ID,0.434,0.0,0.61,0.61,0.668,0.0,0.0,0.61,0.058,0.0,0.0,0.0,1.0,16,3.253528816796469,object,0,0,0,0,0,0,1,0,0,0,0,0,번호
PROTECT_SPC,0.0,0.0,0.0,0.0,0.413,0.0,0.0,0.0,0.413,0.0,0.0,0.0,1.0,10,3.103307700569729,object,0,0,0,0,0,0,0,0,0,0,0,1,
WSTE_SE_CD,0.311,0.0,0.595,0.595,0.595,0.0,0.0,0.595,0.0,0.0,0.0,0.0,1.0,9,2.996558619574055,object,0,0,0,0,0,1,0,0,0,0,0,0,코드
USER_SECSN_DT,0.371,0.0,0.541,0.541,0.589,0.0,0.0,0.541,0.048,0.165,0.0,0.0,1.0,18,3.297698016013487,object,0,1,0,0,0,0,0,0,0,0,0,0,날짜
BFO_OFFC_ADDR4,0.074,0.0,0.186,0.186,0.596,0.0,0.0,0.186,0.41,0.0,0.0,0.0,1.0,31,4.436277035735706,object,0,0,0,0,0,0,0,0,0,0,0,1,
PAR_WS_RIV_NO,0.239,0.0,0.322,0.322,0.425,0.0,0.0,0.322,0.103,0.0,0.0,0.0,1.0,13,3.156614674181967,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
AGENCY_ENTN,0.176,0.0,0.611,0.611,0.659,0.0,0.0,0.611,0.048,0.0,0.0,0.0,1.0,18,3.6054207106590943,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
WSTE_TRTB_TYPE,0.177,0.0,0.305,0.305,0.305,0.0,0.0,0.305,0.0,0.0,0.0,0.0,1.0,11,2.889963095218626,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
TRAN_QUNT_UNIT,0.155,0.0,0.23,0.23,0.365,0.0,0.0,0.23,0.135,0.0,0.0,0.0,1.0,12,3.1501066305903382,object,0,0,0,0,0,0,0,0,0,0,0,1,코드
EMPTVHCL_WT,0.132,0.0,0.319,0.319,0.319,0.0,0.0,0.319,0.0,0.118,0.0,0.0,1.0,12,3.174182954361755,object,0,0,0,0,0,0,0,0,0,0,0,1,수량
OPENING_CHECK_DATE,0.332,0.0,0.584,0.584,0.584,0.0,0.0,0.584,0.0,0.126,0.0,0.0,1.0,13,3.153268910883408,object,0,0,0,0,0,0,0,0,0,0,0,1,날짜
JOIN_YN,0.0,0.0,0.0,0.0,0.338,0.0,0.0,0.0,0.338,0.0,0.0,0.0,1.0,10,2.971181715060081,object,0,0,0,0,1,0,0,0,0,0,0,0,여부
CURR_MNT_USCM_NO,0.36,0.0,0.635,0.635,0.705,0.0,0.0,0.635,0.07,0.0,0.0,0.0,1.0,16,3.40436350775381,object,1,0,0,0,0,0,0,0,0,0,0,0,번호
TRNSMIS_PARAMTR_VALUE3,0.307,0.0,0.643,0.643,0.691,0.0,0.0,0.643,0.048,0.0,0.0,0.0,1.0,18,3.684826341155391,object,0,0,0,0,0,0,0,0,0,0,0,1,
ACCSSRD_LA,0.089,0.0,0.462,0.462,0.542,0.0,0.0,0.462,0.08,0.051,0.0,0.0,1.0,17,3.710851460127972,object,0,0,0,0,0,0,0,0,0,0,0,1,번호
