iter	Passed	Remaining
690	17007	7605
691	17031	7580
692	17052	7554
693	17074	7528
694	17092	7501
695	17119	7477
696	17137	7450
697	17159	7424
698	17178	7397
699	17203	7373
700	17222	7345
701	17242	7319
702	17261	7292
703	17281	7265
704	17303	7240
705	17327	7215
706	17357	7193
707	17377	7166
708	17400	7141
709	17425	7117
710	17447	7091
711	17467	7065
712	17489	7039
713	17510	7014
714	17535	6989
715	17562	6966
716	17582	6939
717	17603	6913
718	17623	6887
719	17642	6860
720	17664	6835
721	17686	6809
722	17704	6783
723	17726	6757
724	17749	6732
725	17771	6707
726	17792	6681
727	17817	6657
728	17842	6632
729	17866	6608
730	17888	6582
731	17927	6563
732	17948	6537
733	17969	6512
734	17990	6486
735	18011	6460
736	18033	6435
737	18055	6409
738	18081	6386
739	18101	6360
740	18121	6334
741	18154	6312
742	18218	6301
743	18268	6285
744	18308	6266
745	18347	6247
746	18380	6225
747	18417	6204
748	18452	6183
749	18507	6169
750	18561	6154
751	18612	6138
752	18636	6113
753	18674	6092
754	18728	6077
755	18755	6053
756	18783	6029
757	18822	6009
758	18852	5986
759	18881	5962
760	18915	5940
761	18938	5915
762	18967	5891
763	18994	5867
764	19017	5842
765	19042	5817
766	19065	5791
767	19092	5767
768	19117	5742
769	19149	5719
770	19174	5695
771	19209	5673
772	19234	5648
773	19263	5624
774	19298	5602
775	19334	5581
776	19361	5556
777	19384	5531
778	19420	5509
779	19450	5485
780	19478	5461
781	19504	5437
782	19538	5414
783	19560	5389
784	19583	5363
785	19605	5337
786	19627	5312
787	19655	5288
788	19673	5261
789	19694	5235
790	19713	5208
791	19733	5182
792	19759	5157
793	19788	5133
794	19815	5109
795	19837	5083
796	19856	5057
797	19913	5040
798	20008	5033
799	20073	5018
800	20119	4998
801	20138	4971
802	20167	4947
803	20190	4922
804	20213	4896
805	20234	4870
806	20259	4845
807	20285	4820
808	20308	4794
809	20331	4769
810	20352	4742
811	20374	4717
812	20396	4691
813	20414	4664
814	20435	4638
815	20455	4612
816	20476	4586
817	20496	4560
818	20514	4533
819	20539	4508
820	20564	4483
821	20586	4457
822	20605	4431
823	20629	4406
824	20652	4380
825	20670	4354
826	20690	4328
827	20706	4301
828	20724	4274
829	20743	4248
830	20761	4222
831	20782	4196
832	20802	4170
833	20821	4144
834	20840	4118
835	20861	4092
836	20881	4066
837	20898	4040
838	20913	4013
839	20930	3986
840	20947	3960
841	20966	3934
842	20984	3908
843	21003	3882
844	21022	3856
845	21037	3829
846	21054	3803
847	21073	3777
848	21094	3751
849	21111	3725
850	21130	3699
851	21149	3673
852	21173	3648
853	21191	3622
854	21208	3596
855	21227	3570
856	21247	3545
857	21265	3519
858	21293	3495
859	21323	3471
860	21344	3445
861	21369	3421
862	21400	3397
863	21423	3372
864	21443	3346
865	21463	3321
866	21482	3295
867	21501	3269
868	21519	3243
869	21539	3218
870	21557	3192
871	21576	3167
872	21596	3141
873	21617	3116
874	21639	3091
875	21660	3066
876	21685	3041
877	21709	3016
878	21738	2992
879	21760	2967
880	21789	2943
881	21822	2919
882	21842	2894
883	21878	2870
884	21901	2845
885	21930	2821
886	21954	2796
887	21976	2771
888	22002	2747
889	22037	2723
890	22069	2699
891	22089	2674
892	22124	2650
893	22157	2627
894	22200	2604
895	22220	2579
896	22256	2555
897	22286	2531
898	22309	2506
899	22331	2481
900	22353	2456
901	22379	2431
902	22401	2406
903	22424	2381
904	22449	2356
905	22469	2331
906	22488	2305
907	22510	2280
908	22538	2256
909	22560	2231
910	22579	2205
